ec50_am,ec50_lm,efficacy
0.09,0.73,0.9978
0.09,0.75,0.9976
0.09,0.77,0.9981
0.09,0.79,0.9977
0.09,0.81,0.9964
0.09,0.8300000000000001,0.9964
0.09,0.85,0.9973
0.09,0.87,0.9961
0.09,0.89,0.9964
0.09,0.91,0.9949
0.09,0.93,0.9967
0.09,0.9500000000000001,0.995
0.09,0.97,0.9953
0.09,0.99,0.9957
0.09,1.01,0.995
0.09,1.03,0.9946
0.09,1.05,0.995
0.09,1.07,0.9936
0.09,1.09,0.9932
0.09,1.11,0.9943
0.09,1.1300000000000001,0.9947
0.09,1.1500000000000001,0.9927
0.09,1.17,0.9925
0.09,1.19,0.9927
0.09,1.21,0.993
0.09,1.23,0.9917
0.09,1.25,0.9932
0.09,1.27,0.9917
0.09,1.29,0.9915
0.09,1.31,0.9923
0.09,1.33,0.9894
0.09,1.35,0.9909
0.09,1.37,0.9913
0.09,1.3900000000000001,0.9909
0.09,1.4100000000000001,0.9924
0.09,1.43,0.9889
0.09,1.45,0.99
0.09,1.47,0.9905
0.09,1.49,0.9919
0.09,1.51,0.989
0.09,1.53,0.9912
0.09,1.55,0.9879
0.09,1.57,0.9903
0.09,1.59,0.991
0.09,1.61,0.9872
0.09,1.6300000000000001,0.9887
0.09,1.6500000000000001,0.9884
0.09,1.6700000000000002,0.9904
0.09,1.69,0.9892
0.09,1.71,0.9868
0.09,1.73,0.9871
0.09,1.75,0.9893
0.09,1.77,0.9888
0.09,1.79,0.9901
0.09,1.81,0.9891
0.09,1.83,0.9895
0.09,1.85,0.9884
0.09,1.87,0.9875
0.09,1.8900000000000001,0.9877
0.09,1.9100000000000001,0.9892
0.09,1.93,0.9889
0.09,1.95,0.9893
0.09,1.97,0.9875
0.09,1.99,0.9884
0.11,0.01,0.9999
0.11,0.03,1.0
0.11,0.05,0.9999
0.11,0.06999999999999999,1.0
0.11,0.09,0.9997
0.11,0.11,0.9997
0.11,0.13,1.0
0.11,0.15000000000000002,1.0
0.11,0.17,1.0
0.11,0.19,1.0
0.11,0.21000000000000002,0.9997
0.11,0.23,0.9999
0.11,0.25,0.9999
0.11,0.27,0.9998
0.11,0.29000000000000004,1.0
0.11,0.31,0.9997
0.11,0.33,0.9997
0.11,0.35000000000000003,0.9994
0.11,0.37,0.9992
0.11,0.39,0.9998
0.11,0.41000000000000003,0.9999
0.11,0.43,0.9994
0.11,0.45,0.9992
0.11,0.47000000000000003,0.9995
0.11,0.49,0.9994
0.11,0.51,0.9987
0.11,0.53,0.9985
0.11,0.55,0.999
0.11,0.5700000000000001,0.9984
0.11,0.59,0.9992
0.11,0.61,0.9985
0.11,0.63,0.998
0.11,0.65,0.9985
0.11,0.67,0.9979
0.11,0.6900000000000001,0.9975
0.11,0.7100000000000001,0.9978
0.11,0.73,0.9976
0.11,0.75,0.9972
0.11,0.77,0.9968
0.11,0.79,0.9968
0.11,0.81,0.9968
0.11,0.8300000000000001,0.9975
0.11,0.85,0.9949
0.11,0.87,0.9957
0.11,0.89,0.9957
0.11,0.91,0.9946
0.11,0.93,0.9957
0.11,0.9500000000000001,0.9957
0.11,0.97,0.9957
0.11,0.99,0.9948
0.11,1.01,0.9934
